Number,Pokemon,Type 1,Type 2,HP,Attack,Defense,Speed,Special,GIF,PNG,Description
1,Bulbasaur,Grass,Poison,45,49,49,45,65,https://play.pokemonshowdown.com/sprites/bwani/bulbasaur.gif,https://play.pokemonshowdown.com/sprites/bw/bulbasaur.png,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
2,Ivysaur,Grass,Poison,60,62,63,60,80,https://play.pokemonshowdown.com/sprites/bwani/ivysaur.gif,https://play.pokemonshowdown.com/sprites/bw/ivysaur.png,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
3,Venusaur,Grass,Poison,80,82,83,80,100,https://play.pokemonshowdown.com/sprites/bwani/venusaur.gif,https://play.pokemonshowdown.com/sprites/bw/venusaur.png,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
4,Charmander,Fire,,39,52,43,65,50,https://play.pokemonshowdown.com/sprites/bwani/charmander.gif,https://play.pokemonshowdown.com/sprites/bw/charmander.png,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,Fire,,58,64,58,80,65,https://play.pokemonshowdown.com/sprites/bwani/charmeleon.gif,https://play.pokemonshowdown.com/sprites/bw/charmeleon.png,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,Fire,Flying,78,84,78,100,85,https://play.pokemonshowdown.com/sprites/bwani/charizard.gif,https://play.pokemonshowdown.com/sprites/bw/charizard.png,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,Water,,44,48,65,43,50,https://play.pokemonshowdown.com/sprites/bwani/squirtle.gif,https://play.pokemonshowdown.com/sprites/bw/squirtle.png,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,Water,,59,63,80,58,65,https://play.pokemonshowdown.com/sprites/bwani/wartortle.gif,https://play.pokemonshowdown.com/sprites/bw/wartortle.png,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,Water,,79,83,100,78,85,https://play.pokemonshowdown.com/sprites/bwani/blastoise.gif,https://play.pokemonshowdown.com/sprites/bw/blastoise.png,A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,Bug,,45,30,35,45,20,https://play.pokemonshowdown.com/sprites/bwani/caterpie.gif,https://play.pokemonshowdown.com/sprites/bw/caterpie.png,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,Bug,,50,20,55,30,25,https://play.pokemonshowdown.com/sprites/bwani/metapod.gif,https://play.pokemonshowdown.com/sprites/bw/metapod.png,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,Bug,Flying,60,45,50,70,80,https://play.pokemonshowdown.com/sprites/bwani/butterfree.gif,https://play.pokemonshowdown.com/sprites/bw/butterfree.png,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,Bug,Poison,40,35,30,50,20,https://play.pokemonshowdown.com/sprites/bwani/weedle.gif,https://play.pokemonshowdown.com/sprites/bw/weedle.png,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,Kakuna,Bug,Poison,45,25,50,35,25,https://play.pokemonshowdown.com/sprites/bwani/kakuna.gif,https://play.pokemonshowdown.com/sprites/bw/kakuna.png,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators."
15,Beedrill,Bug,Poison,65,80,40,75,45,https://play.pokemonshowdown.com/sprites/bwani/beedrill.gif,https://play.pokemonshowdown.com/sprites/bw/beedrill.png,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
16,Pidgey,Normal,Flying,40,45,40,56,35,https://play.pokemonshowdown.com/sprites/bwani/pidgey.gif,https://play.pokemonshowdown.com/sprites/bw/pidgey.png,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,Normal,Flying,63,60,55,71,50,https://play.pokemonshowdown.com/sprites/bwani/pidgeotto.gif,https://play.pokemonshowdown.com/sprites/bw/pidgeotto.png,"Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder."
18,Pidgeot,Normal,Flying,83,80,75,91,70,https://play.pokemonshowdown.com/sprites/bwani/pidgeot.gif,https://play.pokemonshowdown.com/sprites/bw/pidgeot.png,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,Rattata,Normal,,30,56,35,72,25,https://play.pokemonshowdown.com/sprites/bwani/rattata.gif,https://play.pokemonshowdown.com/sprites/bw/rattata.png,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Raticate,Normal,,55,81,60,97,50,https://play.pokemonshowdown.com/sprites/bwani/raticate.gif,https://play.pokemonshowdown.com/sprites/bw/raticate.png,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,Normal,Flying,40,60,30,70,31,https://play.pokemonshowdown.com/sprites/bwani/spearow.gif,https://play.pokemonshowdown.com/sprites/bw/spearow.png,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
22,Fearow,Normal,Flying,65,90,65,100,61,https://play.pokemonshowdown.com/sprites/bwani/fearow.gif,https://play.pokemonshowdown.com/sprites/bw/fearow.png,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,Ekans,Poison,,35,60,44,55,40,https://play.pokemonshowdown.com/sprites/bwani/ekans.gif,https://play.pokemonshowdown.com/sprites/bw/ekans.png,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,Poison,,60,85,69,80,65,https://play.pokemonshowdown.com/sprites/bwani/arbok.gif,https://play.pokemonshowdown.com/sprites/bw/arbok.png,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,Electric,,35,55,30,90,50,https://play.pokemonshowdown.com/sprites/bwani/pikachu.gif,https://play.pokemonshowdown.com/sprites/bw/pikachu.png,"When several of these Pokemon gather, their electricity could build and cause lightning storms."
26,Raichu,Electric,,60,90,55,100,90,https://play.pokemonshowdown.com/sprites/bwani/raichu.gif,https://play.pokemonshowdown.com/sprites/bw/raichu.png,Its long tail serves as a ground to protect itself from its own high voltage power.
27,Sandshrew,Ground,,50,75,85,40,30,https://play.pokemonshowdown.com/sprites/bwani/sandshrew.gif,https://play.pokemonshowdown.com/sprites/bw/sandshrew.png,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,Ground,,75,100,110,65,55,https://play.pokemonshowdown.com/sprites/bwani/sandslash.gif,https://play.pokemonshowdown.com/sprites/bw/sandslash.png,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,NidoranF,Poison,,55,47,52,41,40,https://play.pokemonshowdown.com/sprites/bwani/nidoranf.gif,https://play.pokemonshowdown.com/sprites/bw/nidoranf.png,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns."
30,Nidorina,Poison,,70,62,67,56,55,https://play.pokemonshowdown.com/sprites/bwani/nidorina.gif,https://play.pokemonshowdown.com/sprites/bw/nidorina.png,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,Poison,Ground,90,82,87,76,75,https://play.pokemonshowdown.com/sprites/bwani/nidoqueen.gif,https://play.pokemonshowdown.com/sprites/bw/nidoqueen.png,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,NidoranM,Poison,,46,57,40,50,40,https://play.pokemonshowdown.com/sprites/bwani/nidoranm.gif,https://play.pokemonshowdown.com/sprites/bw/nidoranm.png,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Nidorino,Poison,,61,72,57,65,55,https://play.pokemonshowdown.com/sprites/bwani/nidorino.gif,https://play.pokemonshowdown.com/sprites/bw/nidorino.png,An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,Poison,Ground,81,92,77,85,75,https://play.pokemonshowdown.com/sprites/bwani/nidoking.gif,https://play.pokemonshowdown.com/sprites/bw/nidoking.png,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,Clefairy,Normal,,70,45,48,35,60,https://play.pokemonshowdown.com/sprites/bwani/clefairy.gif,https://play.pokemonshowdown.com/sprites/bw/clefairy.png,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,Normal,,95,70,73,60,85,https://play.pokemonshowdown.com/sprites/bwani/clefable.gif,https://play.pokemonshowdown.com/sprites/bw/clefable.png,A timid fairy Pokemon that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,Fire,,38,41,40,65,65,https://play.pokemonshowdown.com/sprites/bwani/vulpix.gif,https://play.pokemonshowdown.com/sprites/bw/vulpix.png,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Ninetales,Fire,,73,76,75,100,100,https://play.pokemonshowdown.com/sprites/bwani/ninetales.gif,https://play.pokemonshowdown.com/sprites/bw/ninetales.png,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,Normal,,115,45,20,20,25,https://play.pokemonshowdown.com/sprites/bwani/jigglypuff.gif,https://play.pokemonshowdown.com/sprites/bw/jigglypuff.png,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,Normal,,140,70,45,45,50,https://play.pokemonshowdown.com/sprites/bwani/wigglytuff.gif,https://play.pokemonshowdown.com/sprites/bw/wigglytuff.png,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,Poison,Flying,40,45,35,55,40,https://play.pokemonshowdown.com/sprites/bwani/zubat.gif,https://play.pokemonshowdown.com/sprites/bw/zubat.png,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,Poison,Flying,75,80,70,90,75,https://play.pokemonshowdown.com/sprites/bwani/golbat.gif,https://play.pokemonshowdown.com/sprites/bw/golbat.png,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,Grass,Poison,45,50,55,30,75,https://play.pokemonshowdown.com/sprites/bwani/oddish.gif,https://play.pokemonshowdown.com/sprites/bw/oddish.png,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,Grass,Poison,60,65,70,40,85,https://play.pokemonshowdown.com/sprites/bwani/gloom.gif,https://play.pokemonshowdown.com/sprites/bw/gloom.png,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,Vileplume,Grass,Poison,75,80,85,50,100,https://play.pokemonshowdown.com/sprites/bwani/vileplume.gif,https://play.pokemonshowdown.com/sprites/bw/vileplume.png,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,Paras,Bug,Grass,35,70,55,25,55,https://play.pokemonshowdown.com/sprites/bwani/paras.gif,https://play.pokemonshowdown.com/sprites/bw/paras.png,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
47,Parasect,Bug,Grass,60,95,80,30,80,https://play.pokemonshowdown.com/sprites/bwani/parasect.gif,https://play.pokemonshowdown.com/sprites/bw/parasect.png,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,Bug,Poison,60,55,50,45,40,https://play.pokemonshowdown.com/sprites/bwani/venonat.gif,https://play.pokemonshowdown.com/sprites/bw/venonat.png,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,Bug,Poison,70,65,60,90,90,https://play.pokemonshowdown.com/sprites/bwani/venomoth.gif,https://play.pokemonshowdown.com/sprites/bw/venomoth.png,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,Diglett,Ground,,10,55,25,95,45,https://play.pokemonshowdown.com/sprites/bwani/diglett.gif,https://play.pokemonshowdown.com/sprites/bw/diglett.png,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,Ground,,35,80,50,120,70,https://play.pokemonshowdown.com/sprites/bwani/dugtrio.gif,https://play.pokemonshowdown.com/sprites/bw/dugtrio.png,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,Normal,,40,45,35,90,40,https://play.pokemonshowdown.com/sprites/bwani/meowth.gif,https://play.pokemonshowdown.com/sprites/bw/meowth.png,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,Persian,Normal,,65,70,60,115,65,https://play.pokemonshowdown.com/sprites/bwani/persian.gif,https://play.pokemonshowdown.com/sprites/bw/persian.png,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,Water,,50,52,48,55,50,https://play.pokemonshowdown.com/sprites/bwani/psyduck.gif,https://play.pokemonshowdown.com/sprites/bw/psyduck.png,"While lulling its enemies with its vacant look, this wily Pokemon will use psychokinetic powers."
55,Golduck,Water,,80,82,78,85,80,https://play.pokemonshowdown.com/sprites/bwani/golduck.gif,https://play.pokemonshowdown.com/sprites/bw/golduck.png,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,Fighting,,40,80,35,70,35,https://play.pokemonshowdown.com/sprites/bwani/mankey.gif,https://play.pokemonshowdown.com/sprites/bw/mankey.png,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,Fighting,,65,105,60,95,60,https://play.pokemonshowdown.com/sprites/bwani/primeape.gif,https://play.pokemonshowdown.com/sprites/bw/primeape.png,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,Fire,,55,70,45,60,50,https://play.pokemonshowdown.com/sprites/bwani/growlithe.gif,https://play.pokemonshowdown.com/sprites/bw/growlithe.png,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,Fire,,90,110,80,95,80,https://play.pokemonshowdown.com/sprites/bwani/arcanine.gif,https://play.pokemonshowdown.com/sprites/bw/arcanine.png,A Pokemon that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,Water,,40,50,40,90,40,https://play.pokemonshowdown.com/sprites/bwani/poliwag.gif,https://play.pokemonshowdown.com/sprites/bw/poliwag.png,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,Water,,65,65,65,90,50,https://play.pokemonshowdown.com/sprites/bwani/poliwhirl.gif,https://play.pokemonshowdown.com/sprites/bw/poliwhirl.png,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,Water,Fighting,90,85,95,70,70,https://play.pokemonshowdown.com/sprites/bwani/poliwrath.gif,https://play.pokemonshowdown.com/sprites/bw/poliwrath.png,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,Psychic,,25,20,15,90,105,https://play.pokemonshowdown.com/sprites/bwani/abra.gif,https://play.pokemonshowdown.com/sprites/bw/abra.png,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,Psychic,,40,35,30,105,120,https://play.pokemonshowdown.com/sprites/bwani/kadabra.gif,https://play.pokemonshowdown.com/sprites/bw/kadabra.png,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,Psychic,,55,50,45,120,135,https://play.pokemonshowdown.com/sprites/bwani/alakazam.gif,https://play.pokemonshowdown.com/sprites/bw/alakazam.png,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,Machop,Fighting,,70,80,50,35,35,https://play.pokemonshowdown.com/sprites/bwani/machop.gif,https://play.pokemonshowdown.com/sprites/bw/machop.png,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,Fighting,,80,100,70,45,50,https://play.pokemonshowdown.com/sprites/bwani/machoke.gif,https://play.pokemonshowdown.com/sprites/bw/machoke.png,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,Fighting,,90,130,80,55,65,https://play.pokemonshowdown.com/sprites/bwani/machamp.gif,https://play.pokemonshowdown.com/sprites/bw/machamp.png,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,Grass,Poison,50,75,35,40,70,https://play.pokemonshowdown.com/sprites/bwani/bellsprout.gif,https://play.pokemonshowdown.com/sprites/bw/bellsprout.png,A carnivorous Pokemon that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,Grass,Poison,65,90,50,55,85,https://play.pokemonshowdown.com/sprites/bwani/weepinbell.gif,https://play.pokemonshowdown.com/sprites/bw/weepinbell.png,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,Grass,Poison,80,105,65,70,100,https://play.pokemonshowdown.com/sprites/bwani/victreebel.gif,https://play.pokemonshowdown.com/sprites/bw/victreebel.png,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,Water,Poison,40,40,35,70,100,https://play.pokemonshowdown.com/sprites/bwani/tentacool.gif,https://play.pokemonshowdown.com/sprites/bw/tentacool.png,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,Water,Poison,80,70,65,100,120,https://play.pokemonshowdown.com/sprites/bwani/tentacruel.gif,https://play.pokemonshowdown.com/sprites/bw/tentacruel.png,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,Rock,Ground,40,80,100,20,30,https://play.pokemonshowdown.com/sprites/bwani/geodude.gif,https://play.pokemonshowdown.com/sprites/bw/geodude.png,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,Rock,Ground,55,95,115,35,45,https://play.pokemonshowdown.com/sprites/bwani/graveler.gif,https://play.pokemonshowdown.com/sprites/bw/graveler.png,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
